algorithm,nodes,interference,sd_interference,hops,sd_hops,distance,sd_dist,totalTraffic,cluster
1,30,9.066666666666666,3.1930480039541456,0.0,0.0,306.3551879882813,114.07601496557366,141.46813070774078,None
2,30,4.3,3.597684440488539,0.7,0.45825756949558394,350.1589572906494,142.69445679465605,231.64833104610443,None
3,30,3.933333333333333,3.6049348892255395,0.7,0.45825756949558394,354.2346533457438,143.02178213066236,231.64833104610443,None
4,30,1.9,1.3747727084867523,2.5,1.5652475842498528,405.9162929534912,187.6214874799015,497.7878828048706,None
5,30,2.4,1.518771433319269,2.066666666666667,1.062491830033949,371.32547251383465,142.5572888013966,425.0714054107666,None
6,30,5.033333333333333,2.83411753853333,1.0333333333333334,0.6046119049072353,382.9665988922119,160.85240441313277,279.44439470767975,None
7,30,4.233333333333333,2.5778975067980405,1.0333333333333334,0.6046119049072353,363.0255704243978,134.4105634812781,270.47484016418457,None
8,30,5.6,2.6532998322843198,0.8333333333333334,0.3726779962499649,343.71985524495443,121.78340603123989,247.16130948066711,None
1,30,9.033333333333333,3.420363853289426,0.0,0.0,265.9550631205241,115.3918555111456,136.7580325603485,None
2,30,3.7,2.9681644159311658,0.7333333333333333,0.44221663871405353,308.5911143620809,139.44745066585398,240.66264152526855,None
3,30,3.466666666666667,3.00813711271426,0.7333333333333333,0.44221663871405353,312.00741545359296,134.44211126603474,240.66264152526855,None
4,30,1.8333333333333333,1.1571036638473187,2.1666666666666665,1.3924399049470282,331.5618237813314,155.11931181203983,426.6147837638855,None
5,30,2.1666666666666665,1.1571036638473189,1.9,1.0754843869934454,319.780930964152,138.87925507811983,398.4444227218628,None
6,30,4.766666666666667,2.740843341422895,0.9666666666666667,0.546707315561891,314.77147750854493,125.21573070741857,258.1292828321457,None
7,30,4.533333333333333,2.7535835237417845,0.8333333333333334,0.521749194749951,296.54368082682294,124.25756064911455,240.09483921527863,None
8,30,5.333333333333333,2.8087165910587863,0.8333333333333334,0.3726779962499649,301.98547490437824,116.4264598021179,247.11069691181183,None
1,30,9.233333333333333,4.27927823613074,0.0,0.0,325.72160059611,103.46739831183065,119.93451797962189,None
2,30,4.166666666666667,3.0776975521032313,0.6666666666666666,0.4714045207910315,367.5569330851237,141.66800667963355,210.6006736755371,None
3,30,3.8333333333333335,3.152600337640166,0.6666666666666666,0.4714045207910315,372.58460133870443,137.286565619604,210.6006736755371,None
4,30,2.1,1.16476034731041,2.6333333333333333,1.8162843634433703,501.7309850692749,239.7288501342832,458.5031815767288,None
5,30,2.6,1.380821011813865,2.0,1.0645812948447542,439.7176785786947,173.75552817828753,385.52314138412476,None
6,30,4.633333333333334,3.2091881977984533,1.0666666666666667,0.6289320754704404,407.3148701985677,149.83636830267938,260.10547637939453,None
7,30,4.166666666666667,3.194613522095522,0.9,0.6506407098647712,399.009148534139,170.37279923573487,231.39203298091888,None
8,30,5.8,3.2186953878862155,0.8333333333333334,0.3726779962499649,393.16112391153973,140.73937324265188,224.6109198331833,None
1,100,30.6,11.291589790636213,0.0,0.0,315.34326942443846,109.65666594237817,497.1524602174759,None
2,100,8.88,9.06231758437101,0.85,0.35707142142714327,347.04140424728394,129.97744319775967,905.3054751157761,None
3,100,7.6,8.855506761332181,0.85,0.35707142142714327,347.8445712757111,120.61991458337064,905.3054751157761,None
4,100,2.05,1.538668255342911,6.2,3.056141357987226,460.4369630503654,194.17338046827768,3489.054794549942,None
5,100,8.74,6.022657220861902,2.69,0.7442445834535849,384.96647139549253,140.83193037601242,1815.971447467804,None
6,100,10.15,6.898369372540151,1.65,0.5722761571129792,406.69492829322814,135.2446347999579,1310.7096803188324,None
7,100,6.36,7.35597716146536,1.52,0.6400000000000005,373.9738105964661,130.64691167710268,1212.9460359811783,None
8,100,19.22,8.870828597149197,0.95,0.21794494717703447,344.4800909614563,120.6612229442649,961.1223948001862,None
1,100,29.39,11.197227335371915,0.0,0.0,304.76006795883177,111.02916070695808,526.2199900150299,None
2,100,9.35,9.79017364503817,0.82,0.38418745424597145,343.1952890205383,135.71629620098878,950.5518571138382,None
3,100,7.4,9.659192512834599,0.82,0.38418745424597145,359.5134549331665,130.34170985219083,950.5518571138382,None
